fid,row_index,col_index,経度,緯度,park_name
404,2,26,139.365752530271,35.6094447832947,小山内裏公園
405,3,26,139.365753579229,35.6092645127938,小山内裏公園
406,4,26,139.365754628176,35.6090842422874,小山内裏公園
407,5,26,139.365755677115,35.6089039717756,小山内裏公園
408,6,26,139.365756726044,35.6087237012584,小山内裏公園
409,7,26,139.365757774964,35.6085434307357,小山内裏公園
410,8,26,139.365758823875,35.6083631602076,小山内裏公園
411,9,26,139.365759872776,35.6081828896741,小山内裏公園
412,10,26,139.365760921668,35.6080026191351,小山内裏公園
413,11,26,139.365761970551,35.6078223485907,小山内裏公園
414,12,26,139.365763019424,35.6076420780409,小山内裏公園
415,13,26,139.365764068288,35.6074618074857,小山内裏公園
416,14,26,139.365765117143,35.607281536925,小山内裏公園
417,15,26,139.365766165989,35.6071012663589,小山内裏公園
418,16,26,139.365767214825,35.6069209957873,小山内裏公園
419,17,26,139.365768263652,35.6067407252103,小山内裏公園
420,18,26,139.365769312469,35.6065604546279,小山内裏公園
421,19,26,139.365770361277,35.6063801840401,小山内裏公園
422,20,26,139.365771410076,35.6061999134468,小山内裏公園
423,21,26,139.365772458866,35.6060196428481,小山内裏公園
424,22,26,139.365773507646,35.6058393722439,小山内裏公園
425,23,26,139.365774556417,35.6056591016344,小山内裏公園
426,24,26,139.365775605178,35.6054788310194,小山内裏公園
427,25,26,139.365776653931,35.6052985603989,小山内裏公園
428,26,26,139.365777702674,35.6051182897731,小山内裏公園
429,27,26,139.365778751408,35.6049380191418,小山内裏公園
430,28,26,139.365779800132,35.6047577485051,小山内裏公園
431,29,26,139.365780848847,35.6045774778629,小山内裏公園
432,30,26,139.365781897553,35.6043972072153,小山内裏公園
433,31,26,139.365782946249,35.6042169365623,小山内裏公園
434,3,27,139.365974328996,35.609265369196,小山内裏公園
435,4,27,139.365975377449,35.6090850986839,小山内裏公園
436,5,27,139.365976425892,35.6089048281665,小山内裏公園
437,6,27,139.365977474326,35.6087245576436,小山内裏公園
438,7,27,139.365978522751,35.6085442871152,小山内裏公園
439,8,27,139.365979571167,35.6083640165815,小山内裏公園
440,9,27,139.365980619573,35.6081837460423,小山内裏公園
441,10,27,139.36598166797,35.6080034754977,小山内裏公園
442,11,27,139.365982716357,35.6078232049476,小山内裏公園
443,12,27,139.365983764735,35.6076429343921,小山内裏公園
444,13,27,139.365984813104,35.6074626638312,小山内裏公園
445,14,27,139.365985861464,35.6072823932649,小山内裏公園
446,15,27,139.365986909814,35.6071021226931,小山内裏公園
447,16,27,139.365987958155,35.6069218521159,小山内裏公園
448,17,27,139.365989006487,35.6067415815333,小山内裏公園
449,18,27,139.365990054809,35.6065613109452,小山内裏公園
450,19,27,139.365991103122,35.6063810403517,小山内裏公園
451,20,27,139.365992151426,35.6062007697528,小山内裏公園
452,21,27,139.365993199721,35.6060204991484,小山内裏公園
453,22,27,139.365994248006,35.6058402285386,小山内裏公園
454,23,27,139.365995296282,35.6056599579234,小山内裏公園
455,24,27,139.365996344548,35.6054796873027,小山内裏公園
456,25,27,139.365997392805,35.6052994166766,小山内裏公園
457,26,27,139.365998441053,35.6051191460451,小山内裏公園
458,27,27,139.365999489292,35.6049388754082,小山内裏公園
459,28,27,139.366000537521,35.6047586047658,小山内裏公園
460,29,27,139.366001585741,35.604578334118,小山内裏公園
461,30,27,139.366002633952,35.6043980634647,小山内裏公園
462,31,27,139.366003682153,35.6042177928061,小山内裏公園
463,5,28,139.366197174679,35.6089056841529,小山内裏公園
464,6,28,139.366198222618,35.6087254136244,小山内裏公園
465,7,28,139.366199270547,35.6085451430904,小山内裏公園
466,8,28,139.366200318468,35.608364872551,小山内裏公園
467,9,28,139.366201366379,35.6081846020061,小山内裏公園
468,10,28,139.36620241428,35.6080043314559,小山内裏公園
469,11,28,139.366203462173,35.6078240609001,小山内裏公園
470,12,28,139.366204510056,35.607643790339,小山内裏公園
471,13,28,139.36620555793,35.6074635197724,小山内裏公園
472,14,28,139.366206605794,35.6072832492004,小山内裏公園
473,15,28,139.366207653649,35.607102978623,小山内裏公園
474,16,28,139.366208701495,35.6069227080402,小山内裏公園
475,17,28,139.366209749332,35.6067424374519,小山内裏公園
476,18,28,139.366210797159,35.6065621668581,小山内裏公園
477,19,28,139.366211844977,35.606381896259,小山内裏公園
478,20,28,139.366212892786,35.6062016256544,小山内裏公園
479,21,28,139.366213940585,35.6060213550444,小山内裏公園
480,22,28,139.366214988375,35.6058410844289,小山内裏公園
481,23,28,139.366216036156,35.6056608138081,小山内裏公園
482,24,28,139.366217083927,35.6054805431817,小山内裏公園
483,25,28,139.366218131689,35.60530027255,小山内裏公園
484,26,28,139.366219179442,35.6051200019128,小山内裏公園
485,27,28,139.366220227186,35.6049397312702,小山内裏公園
486,28,28,139.36622127492,35.6047594606222,小山内裏公園
487,29,28,139.366222322645,35.6045791899687,小山内裏公園
488,30,28,139.366223370361,35.6043989193098,小山内裏公園
489,31,28,139.366224418067,35.6042186486455,小山内裏公園
490,7,29,139.366420018353,35.6085459986611,小山内裏公園
491,8,29,139.366421065778,35.6083657281161,小山内裏公園
492,9,29,139.366422113194,35.6081854575656,小山内裏公園
493,10,29,139.3664231606,35.6080051870097,小山内裏公園
494,11,29,139.366424207998,35.6078249164483,小山内裏公園
495,12,29,139.366425255386,35.6076446458815,小山内裏公園
496,13,29,139.366426302764,35.6074643753093,小山内裏公園
497,14,29,139.366427350134,35.6072841047316,小山内裏公園
498,15,29,139.366428397494,35.6071038341486,小山内裏公園
499,16,29,139.366429444844,35.60692356356,小山内裏公園
