park_name,緯度,経度,class,VARI,VARI_mean,VARI_std,VARI_min,VARI_max,R_med,G_med,B_med,R_mean,G_mean,B_mean,veg_ratio,n_mask,n_veg
八王子霊園,35.65956673,139.2614125,要注意,0.08547129482030869,0.08222055435180664,0.011315199546515942,0.02382546477019787,0.10720079392194748,164.0,173.0,148.0,162.73367309570312,170.33529663085938,148.86280822753906,0.9956172388604821,1369,1363
八王子霊園,35.65938646,139.2614138,要注意,0.08394935727119446,0.08156458288431168,0.00951981358230114,0.04719904065132141,0.11060520261526108,161.0,169.0,147.5,159.31712341308594,166.55091857910156,147.82022094726562,1.0,1296,1296
八王子霊園,35.65920619,139.261415,要注意,0.08320894837379456,0.08188524842262268,0.007878567092120647,0.051239706575870514,0.0987420380115509,166.0,174.0,150.0,163.0217742919922,170.5270233154297,150.0750732421875,1.0,1332,1332
八王子霊園,35.66082964,139.2616244,危険,0.04599300026893616,0.11083982139825821,0.09332703053951263,-0.010921277105808258,0.5404564142227173,162.0,169.0,149.0,156.73220825195312,165.30667114257812,146.00587463378906,0.9956172388604821,1369,1363
八王子霊園,35.6604691,139.2616269,要注意,0.08476917445659637,0.12475209683179855,0.08950971066951752,0.0,0.3664107024669647,166.0,173.0,151.0,157.43833923339844,167.0263214111328,147.63082885742188,0.9984984984984985,1332,1330
八王子霊園,35.66028884,139.2616282,危険,0.03720594570040703,0.030616218224167824,0.013992825523018837,-0.010822798125445843,0.05759716033935547,184.0,187.0,165.0,181.66036987304688,184.7421417236328,163.65408325195312,0.8587962962962963,1296,1113
八王子霊園,35.66010857,139.2616295,危険,0.037953417748212814,0.035179492086172104,0.006557886954396963,0.020008323714137077,0.05138808861374855,183.0,187.0,164.0,181.6447296142578,185.21603393554688,163.3147735595703,0.8655953250547845,1369,1185
八王子霊園,35.65992831,139.2616308,危険,0.038732271641492844,0.03773368522524834,0.005389988888055086,0.020092559978365898,0.054210469126701355,184.0,188.0,164.0,182.24095153808594,186.1031494140625,163.08775329589844,0.9752252252252253,1332,1299
八王子霊園,35.65974804,139.2616321,要注意,0.08284374326467514,0.09989412128925323,0.07318823784589767,0.021031657233834267,0.48049455881118774,162.0,169.0,149.0,154.4957733154297,162.34835815429688,143.79905700683594,0.8217592592592593,1296,1065
八王子霊園,35.65956777,139.2616334,要注意,0.1323470026254654,0.14079390466213226,0.07754840701818466,0.020434807986021042,0.488156795501709,141.0,149.0,138.0,137.67147827148438,146.74758911132812,135.7860565185547,0.9369369369369369,1332,1248
八王子霊園,35.65938751,139.2616346,要注意,0.08483660966157913,0.10884405672550201,0.07830262929201126,0.0,0.5455988645553589,160.0,168.0,148.0,156.57452392578125,164.65362548828125,150.01748657226562,0.9266975308641975,1296,1201
八王子霊園,35.65920724,139.2616359,要注意,0.09107419848442078,0.1311013549566269,0.10707788169384003,0.0245526060461998,0.9180523157119751,159.0,168.0,144.0,153.2642822265625,162.70132446289062,142.43704223632812,0.997808619430241,1369,1366
八王子霊園,35.65902698,139.2616372,健康,0.20264995098114014,0.3343908190727234,0.30100858211517334,0.034370630979537964,2.0,131.0,144.0,129.0,124.52252197265625,138.82432556152344,126.61711883544922,1.0,1332,1332
八王子霊園,35.66083068,139.2618452,危険,0.030107993632555008,0.020720649510622025,0.02088398113846779,-0.024643424898386,0.049624014645814896,183.0,185.0,164.0,180.34698486328125,182.38072204589844,161.7742919921875,0.9606481481481481,1296,1245
