fid,row_index,col_index,経度,緯度,park_name
115,19,12,139.381532471941,35.6398691023731,平山城址公園
116,20,12,139.381533486635,35.6396888323849,平山城址公園
117,21,12,139.381534501319,35.6395085623913,平山城址公園
118,8,13,139.381742149568,35.6418529000537,平山城址公園
119,9,13,139.381743163864,35.6416726301198,平山城址公園
120,10,13,139.381744178152,35.6414923601804,平山城址公園
121,11,13,139.38174519243,35.6413120902356,平山城址公園
122,12,13,139.3817462067,35.6411318202854,平山城址公園
123,13,13,139.38174722096,35.6409515503298,平山城址公園
124,14,13,139.381748235212,35.6407712803687,平山城址公園
125,15,13,139.381749249454,35.6405910104021,平山城址公園
126,16,13,139.381750263688,35.6404107404302,平山城址公園
127,17,13,139.381751277912,35.6402304704528,平山城址公園
128,18,13,139.381752292127,35.64005020047,平山城址公園
129,19,13,139.381753306334,35.6398699304817,平山城址公園
130,20,13,139.381754320531,35.6396896604881,平山城址公園
131,21,13,139.38175533472,35.639509390489,平山城址公園
132,8,14,139.381962989425,35.6418537278176,平山城址公園
133,9,14,139.381964003225,35.6416734578783,平山城址公園
134,10,14,139.381965017017,35.6414931879334,平山城址公園
135,11,14,139.381966030799,35.6413129179832,平山城址公園
136,12,14,139.381967044573,35.6411326480275,平山城址公園
137,13,14,139.381968058338,35.6409523780663,平山城址公園
138,14,14,139.381969072093,35.6407721080998,平山城址公園
139,15,14,139.38197008584,35.6405918381278,平山城址公園
140,16,14,139.381971099577,35.6404115681504,平山城址公園
141,17,14,139.381972113306,35.6402312981675,平山城址公園
142,18,14,139.381973127025,35.6400510281793,平山城址公園
143,19,14,139.381974140736,35.6398707581856,平山城址公園
144,20,14,139.381975154437,35.6396904881864,平山城址公園
145,21,14,139.38197616813,35.6395102181818,平山城址公園
146,9,15,139.382184842596,35.6416742852318,平山城址公園
147,10,15,139.382185855891,35.6414940152816,平山城址公園
148,11,15,139.382186869178,35.6413137453258,平山城址公園
149,12,15,139.382187882455,35.6411334753647,平山城址公園
150,13,15,139.382188895724,35.6409532053981,平山城址公園
151,14,15,139.382189908983,35.6407729354261,平山城址公園
152,15,15,139.382190922234,35.6405926654486,平山城址公園
153,16,15,139.382191935475,35.6404123954658,平山城址公園
154,17,15,139.382192948708,35.6402321254774,平山城址公園
155,18,15,139.382193961932,35.6400518554837,平山城址公園
156,19,15,139.382194975146,35.6398715854845,平山城址公園
157,20,15,139.382195988352,35.6396913154799,平山城址公園
158,21,15,139.382197001548,35.6395110454699,平山城址公園
159,13,16,139.382409733119,35.640954032325,平山城址公園
160,14,16,139.382410745883,35.6407737623475,平山城址公園
161,15,16,139.382411758637,35.6405934923646,平山城址公園
162,16,16,139.382412771383,35.6404132223763,平山城址公園
163,17,16,139.38241378412,35.6402329523825,平山城址公園
164,18,16,139.382414796847,35.6400526823833,平山城址公園
165,19,16,139.382415809566,35.6398724123786,平山城址公園
166,20,16,139.382416822275,35.6396921423686,平山城址公園
167,21,16,139.382417834976,35.6395118723531,平山城址公園
168,13,17,139.382630570523,35.640954858847,平山城址公園
169,14,17,139.382631582791,35.6407745888641,平山城址公園
170,18,17,139.382635631772,35.640053508878,平山城址公園
171,19,17,139.382636643994,35.6398732388679,平山城址公園
172,20,17,139.382637656208,35.6396929688524,平山城址公園
173,21,17,139.382638668413,35.6395126988314,平山城址公園
174,13,18,139.382851407937,35.6409556849642,平山城址公園
175,14,18,139.382852419708,35.6407754149758,平山城址公園
176,17,18,139.38285545497,35.640234604978,平山城址公園
177,18,18,139.382856466705,35.6400543349679,平山城址公園
178,19,18,139.382857478432,35.6398740649523,平山城址公園
179,20,18,139.38285849015,35.6396937949314,平山城址公園
180,21,18,139.382859501859,35.6395135249049,平山城址公園
181,22,18,139.382860513558,35.6393332548731,平山城址公園
182,17,19,139.383076290408,35.6402354306685,平山城址公園
183,18,19,139.383077301648,35.6400551606529,平山城址公園
184,19,19,139.383078312879,35.6398748906319,平山城址公園
185,20,19,139.383079324101,35.6396946206055,平山城址公園
186,21,19,139.383080335313,35.6395143505736,平山城址公園
187,22,19,139.383081346517,35.6393340805363,平山城址公園
188,13,20,139.38329308279,35.6409573359839,平山城址公園
189,19,20,139.383299147334,35.6398757159067,平山城址公園
190,20,20,139.38330015806,35.6396954458748,平山城址公園
191,21,20,139.383301168777,35.6395151758375,平山城址公園
192,13,21,139.38351392023,35.6409581608865,平山城址公園
193,20,21,139.383520992029,35.6396962707393,平山城址公園
194,21,21,139.38352200225,35.6395160006965,平山城址公園
195,11,22,139.383732738077,35.6413195253883,平山城址公園
196,12,22,139.383733747883,35.641139255389,平山城址公園
197,11,23,139.383953576527,35.6413203494921,平山城址公園
198,12,23,139.383954585837,35.6411400794873,平山城址公園
199,19,23,139.383961650755,35.6398781893019,平山城址公園
200,20,23,139.383962659993,35.6396979192536,平山城址公園
201,11,24,139.384174414986,35.641321173191,平山城址公園
202,12,24,139.3841754238,35.6411409031808,平山城址公園
203,19,24,139.384182485246,35.6398790129572,平山城址公園
204,20,24,139.384183493989,35.6396987429036,平山城址公園
205,21,24,139.384184502722,35.6395184728445,平山城址公園
206,11,25,139.384395253454,35.641321996485,平山城址公園
207,12,25,139.384396261772,35.6411417264694,平山城址公園
208,19,25,139.384403319747,35.6398798362078,平山城址公園
209,20,25,139.384404327993,35.6396995661487,平山城址公園
210,21,25,139.38440533623,35.6395192960842,平山城址公園
211,11,26,139.384616091931,35.6413228193742,平山城址公園
212,12,26,139.384617099753,35.6411425493531,平山城址公園
213,18,26,139.384623146497,35.6400609291126,平山城址公園
214,19,26,139.384624154256,35.6398806590535,平山城址公園
215,20,26,139.384625162006,35.6397003889889,平山城址公園
216,21,26,139.384626169748,35.639520118919,平山城址公園
217,11,27,139.384836930417,35.6413236418585,平山城址公園
218,18,27,139.384843981511,35.6400617515588,平山城址公園
219,19,27,139.384844988774,35.6398814814943,平山城址公園
220,20,27,139.384845996029,35.6397012114243,平山城址公園
221,21,27,139.384847003274,35.639520941349,平山城址公園
222,11,28,139.385057768912,35.6413244639379,平山城址公園
223,18,28,139.385064816534,35.6400625736003,平山城址公園
224,19,28,139.385065823302,35.6398823035303,平山城址公園
225,20,28,139.38506683006,35.6397020334549,平山城址公園
226,21,28,139.38506783681,35.6395217633741,平山城址公園
227,11,29,139.385278607416,35.6413252856125,平山城址公園
228,12,29,139.38527961375,35.6411450155751,平山城址公園
229,19,29,139.385286657838,35.6398831251615,平山城址公園
230,20,29,139.3852876641,35.6397028550806,平山城址公園
231,21,29,139.385288670354,35.6395225849944,平山城址公園
232,11,30,139.385499445928,35.6413261068822,平山城址公園
233,12,30,139.385500451766,35.6411458368394,平山城址公園
234,19,30,139.385507492383,35.6398839463878,平山城址公園
235,20,30,139.38550849815,35.6397036763015,平山城址公園
236,21,30,139.385509503907,35.6395234062099,平山城址公園
237,12,31,139.385721289792,35.6411466576988,平山城址公園
238,19,31,139.385728326937,35.6398847672092,平山城址公園
239,20,31,139.385729332208,35.6397044971176,平山城址公園
240,21,31,139.38573033747,35.6395242270205,平山城址公園
241,13,32,139.385943132664,35.6409672080943,平山城址公園
242,19,32,139.3859491615,35.6398855876259,平山城址公園
243,20,32,139.385950166275,35.6397053175288,平山城址公園
244,21,32,139.385951171041,35.6395250474263,平山城址公園
245,19,33,139.386169996072,35.6398864076377,平山城址公園
246,20,33,139.386171000351,35.6397061375352,平山城址公園
247,21,33,139.386172004621,35.6395258674272,平山城址公園
248,19,34,139.386390830653,35.6398872272446,平山城址公園
249,20,34,139.386391834436,35.6397069571367,平山城址公園
250,21,34,139.38639283821,35.6395266870234,平山城址公園
251,20,35,139.38661266853,35.6397077763334,平山城址公園
252,21,35,139.386613671808,35.6395275062146,平山城址公園
253,20,36,139.386833502632,35.6397085951252,平山城址公園
254,21,36,139.386834505414,35.6395283250011,平山城址公園
255,20,37,139.387054336744,35.6397094135122,平山城址公園
256,21,37,139.38705533903,35.6395291433827,平山城址公園
257,20,38,139.387275170864,35.6397102314944,平山城址公園
258,21,38,139.387276172655,35.6395299613594,平山城址公園
259,20,39,139.387496004994,35.6397110490717,平山城址公園
260,21,39,139.387497006288,35.6395307789313,平山城址公園
261,19,40,139.387715838325,35.6398921363845,平山城址公園
262,20,40,139.387716839132,35.6397118662442,平山城址公園
263,21,40,139.387717839931,35.6395315960984,平山城址公園
264,14,41,139.387931671278,35.6407943038047,平山城址公園
265,15,41,139.387932671634,35.6406140336861,平山城址公園
266,16,41,139.387933671981,35.6404337635621,平山城址公園
267,17,41,139.387934672319,35.6402534934327,平山城址公園
268,18,41,139.387935672648,35.6400732232978,平山城址公園
269,19,41,139.387936672968,35.6398929531575,平山城址公園
270,20,41,139.387937673279,35.6397126830118,平山城址公園
271,21,41,139.387938673582,35.6395324128607,平山城址公園
272,22,41,139.387939673876,35.6393521427041,平山城址公園
273,23,41,139.38794067416,35.6391718725421,平山城址公園
274,24,41,139.387941674436,35.6389916023746,平山城址公園
275,25,41,139.387942674703,35.6388113322017,平山城址公園
276,10,42,139.388148508881,35.6415162006413,平山城址公園
277,11,42,139.388149508777,35.6413359305391,平山城址公園
278,12,42,139.388150508663,35.6411556604314,平山城址公園
279,13,42,139.388151508541,35.6409753903183,平山城址公園
280,14,42,139.388152508409,35.6407951201998,平山城址公園
281,15,42,139.388153508269,35.6406148500759,平山城址公園
282,16,42,139.38815450812,35.6404345799465,平山城址公園
283,22,42,139.38816050704,35.6393529590561,平山城址公園
284,23,42,139.388161506829,35.6391726888887,平山城址公園
285,24,42,139.388162506609,35.6389924187159,平山城址公園
286,25,42,139.38816350638,35.6388121485376,平山城址公園
287,10,43,139.388369348006,35.6415170166532,平山城址公園
288,11,43,139.388370347405,35.6413367465456,平山城址公園
289,12,43,139.388371346796,35.6411564764325,平山城址公園
290,13,43,139.388372346177,35.640976206314,平山城址公園
291,14,43,139.38837334555,35.6407959361901,平山城址公園
292,10,44,139.388590187139,35.6415178322602,平山城址公園
293,11,44,139.388591186042,35.6413375621472,平山城址公園
294,12,44,139.388592184937,35.6411572920287,平山城址公園
